エリア,No.,落札日,案件名,機関（発注者名）,落札会社名,落札価格（円）,支店名,電話番号,担当者,メールアドレス,Mazricaコンタクト,アプローチ方法,ステータス,最終接点日,Malme担当,アクション履歴
北海道,46,2026/3/19,札幌道路事務所管内 道路点検業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社ドーコン,44539000,,,,,,,,,,
北海道,47,2026/3/17,釧路道路事務所管内 橋梁点検業務,国土交通省(MLIT) 北海道開発局 釧路開発建設部,株式会社ドーコン,83600000,,,,,,,,,,
北海道,48,2026/3/12,一般国道5号 札幌市外 創成川通水質管理等検討業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社ドーコン,30965000,,,,,,,,,,
北海道,49,2026/3/10,滝川道路事務所管内 道路橋点検業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社ドーコン,44700000,,,,,,,,,,
北海道,50,2026/3/5,千歳道路事務所管内 道路橋点検業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社ドーコン,44200000,,,,,,,,,,
北海道,51,2026/3/5,深川道路事務所管内 道路橋点検業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社ドーコン,32200000,,,,,,,,,,
北海道,52,2026/3/5,岩見沢道路事務所管内 道路橋点検業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社ドーコン,24800000,,,,,,,,,,
北海道,53,2025/12/16,北海道縦貫自動車道 七飯町 道路整備基礎調査業務,国土交通省(MLIT) 北海道開発局 函館開発建設部,株式会社ドーコン,6310000,,,,,,,,,,
北海道,54,2026/3/19,札内川ダム堰堤改良工事用道路付属施設設計業務,国土交通省(MLIT) 北海道開発局 帯広開発建設部,株式会社ドーコン,23450000,,,,,,,,,,
北海道,55,2026/3/17,釧路道路事務所管内 橋梁点検業務,国土交通省(MLIT) 北海道開発局 釧路開発建設部,株式会社ドーコン,76000000,,,,,,,,,,
北海道,56,2025/12/2,釧路川河川基本技術資料検討外業務,国土交通省(MLIT) 北海道開発局 釧路開発建設部,株式会社ドーコン,32670000,,,,,,,,,,
北海道,57,2026/3/19,新千歳空港 地盤改良効果調査業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社ドーコン,34700000,,,,,,,,,,
北海道,58,2026/3/5,千歳道路事務所管内 道路橋点検業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社ドーコン,44200000,,,,,,,,,,
北海道,59,2026/3/5,岩見沢道路事務所管内 道路橋点検業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社ドーコン,24800000,,,,,,,,,,
北海道,60,2026/3/5,深川道路事務所管内 道路橋点検業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社ドーコン,32200000,,,,,,,,,,
北海道,61,2026/3/5,滝川道路事務所管内 道路橋点検業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社ドーコン,49170000,,,,,,,,,,
北海道,62,2026/3/5,岩見沢道路事務所管内 道路橋点検業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社ドーコン,24800000,,,,,,,,,,
北海道,63,2026/3/5,千歳道路事務所管内 道路橋点検業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社ドーコン,44200000,,,,,,,,,,
北海道,64,2026/3/19,千歳道路事務所管内 道路点検業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社ドーコン,49764000,,,,,,,,,,
北海道,65,2026/3/19,札幌道路事務所管内 道路点検業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社ドーコン,44539000,,,,,,,,,,
北海道,66,2026/3/19,日高自動車道新ひだか町静内道路地質総合解析外一連業務,国土交通省(MLIT) 北海道開発局 室蘭開発建設部,株式会社ドーコン,41525000,,,,,,,,,,
北海道,67,2026/3/19,日高自動車道新ひだか町軽種馬影響評価業務,国土交通省(MLIT) 北海道開発局 室蘭開発建設部,株式会社ドーコン,8140000,,,,,,,,,,
北海道,68,2026/3/10,天塩川上流 岩尾内地区地質調査業務,国土交通省(MLIT) 北海道開発局 旭川開発建設部,株式会社ドーコン,20910000,,,,,,,,,,
北海道,69,2026/3/12,日高道路事務所外橋梁点検調査業務,国土交通省(MLIT) 北海道開発局 室蘭開発建設部,株式会社ドーコン,31220000,,,,,,,,,,
北海道,70,2026/3/10,天塩川上流 岩尾内地区地質調査業務,国土交通省(MLIT) 北海道開発局 旭川開発建設部,株式会社ドーコン,20910000,,,,,,,,,,
北海道,71,2026/3/12,一般国道5号 札幌市外 創成川通水質管理等検討業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社ドーコン,30965000,,,,,,,,,,
北海道,72,2026/3/18,倶知安開発事務所管内 道路防災点検業務,国土交通省(MLIT) 北海道開発局 小樽開発建設部,株式会社ドーコン,27665000,,,,,,,,,,
北海道,73,2026/1/29,北海道縦貫自動車道 七飯町 道路整備基礎調査業務,国土交通省(MLIT) 北海道開発局 函館開発建設部,株式会社ドーコン,6941000,,,,,,,,,,
北海道,74,2025/12/18,十勝川流域自然再生検討業務,国土交通省(MLIT) 北海道開発局 帯広開発建設部,株式会社ドーコン,50930000,,,,,,,,,,
北海道,75,2026/2/12,日高自動車道新ひだか町外施工計画検討業務,国土交通省(MLIT) 北海道開発局 室蘭開発建設部,株式会社ドーコン,22968000,,,,,,,,,,
北海道,76,2025/11/20,一般国道227号 北斗市 中山地質調査外一連業務,国土交通省(MLIT) 北海道開発局 函館開発建設部,株式会社プラテック,12490000,,,,,,,,,,
北海道,77,2025/10/7,一般国道44号 厚岸町 尾幌糸魚沢 厚岸測量調査業務,国土交通省(MLIT) 北海道開発局 釧路開発建設部,株式会社プラテック,11781000,,,,,,,,,,
北海道,78,2025/11/20,一般国道227号 北斗市 中山地質調査外一連業務,国土交通省(MLIT) 北海道開発局 函館開発建設部,株式会社プラテック,12490000,,,,,,,,,,
